Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na"
"Nuts, cashew nuts, raw",565,4.81,17.4,38.9,36.3,2.6,42.0,638.0,5.07,20.7,1.95,532.0,251.0,2.22,5.99,4.76
"Nuts, macadamia nuts, raw",712,1.83,7.79,64.9,24.1,1.36,52.7,373.0,1.2,32.6,11.3,208.0,107.0,0.446,1.88,0.0
"Nuts, pine nuts, raw",689,1.92,15.7,61.3,18.6,2.51,8.74,655.0,5.71,,10.2,540.0,206.0,1.12,5.36,0.0
"Nuts, pistachio nuts, raw",598,3.95,20.5,45.0,27.7,2.83,117.0,947.0,2.18,23.1,1.05,500.0,110.0,1.05,3.46,0.0
"Nuts, brazilnuts, raw",664,2.26,15.0,57.4,21.6,3.63,168.0,592.0,3.82,280.0,1.26,707.0,351.0,1.74,2.47,0.0
"Nuts, almonds, whole, raw",626,4.26,21.5,51.1,20.0,3.16,254.0,733.0,2.86,,2.15,503.0,258.0,0.91,3.74,0.0
"Nuts, hazelnuts or filberts, raw",641,4.31,13.5,53.5,26.5,2.21,135.0,636.0,2.33,0.0,6.06,321.0,156.0,1.41,3.46,0.0
"Nuts, pecans, halves, raw",750,2.62,9.96,73.3,12.7,1.44,54.8,360.0,3.93,,2.28,253.0,103.0,0.906,2.37,0.0
"Nuts, walnuts, English, halves, raw",730,3.14,14.6,69.7,10.9,1.64,88.3,424.0,2.76,,3.0,365.0,142.0,1.21,2.24,0.0
"Nuts, almonds, dry roasted, with salt added",620,2.2,20.4,57.8,16.2,3.47,273.0,684.0,2.8,0.0,2.02,456.0,258.0,0.87,3.17,256.0
"Almond butter, creamy",645,1.75,20.8,53.0,21.2,3.18,264.0,745.0,3.18,0.794,2.14,507.0,268.0,0.975,4.11,0.996
"Flaxseed, ground",545,6.8,18.0,37.3,34.4,3.52,230.0,793.0,4.74,136.0,2.4,556.0,372.0,1.34,5.78,36.7
"Flour, almond",622,4.32,26.2,50.2,16.2,2.96,232.0,667.0,2.8,0.742,1.81,512.0,251.0,0.975,3.22,0.894
"Flour, chestnut",385,7.33,5.29,4.64,80.5,2.3,55.8,1030.0,1.04,0.0,2.9,134.0,68.8,0.581,1.62,0.0
"Flour, coconut",438,4.69,16.1,15.3,58.9,4.99,36.0,2090.0,3.7,26.8,5.29,507.0,248.0,2.08,8.02,46.9
"Seeds, pumpkin seeds (pepitas), raw",555,6.62,29.9,40.0,18.7,4.77,37.4,691.0,6.34,20.5,4.12,1150.0,500.0,1.22,8.36,0.0
"Seeds, sunflower seed kernels, dry roasted, with salt added",612,1.5,21.0,56.1,17.1,4.3,78.0,689.0,6.0,80.4,2.89,750.0,358.0,1.83,5.21,532.0
"Seeds, sunflower seed, kernel, raw",609,4.87,18.9,48.4,24.5,3.31,116.0,657.0,5.58,17.8,2.63,732.0,302.0,1.88,4.37,0.0
"Sesame butter, creamy",697,0.606,19.7,62.4,14.2,3.11,116.0,408.0,6.04,46.5,1.61,719.0,357.0,1.65,7.0,63.6
